img,img_height,img_width,face_xtl,face_ytl,face_xbr,face_ybr,mask_xtl,mask_ytl,mask_xtm,mask_ytm,mask_xtr,mask_ytr,mask_xbr,mask_ybr,mask_xbm,mask_ybm,mask_xbl,mask_ybl
000004f4400f6ec5.jpg,685,1024,597,182,726,311,586,249,660,244,699,263,691,289,649,309,593,295
0000271195f2c007.jpg,768,1024,384,348,705,669,364,526,554,504,647,563,616,637,519,686,399,654
00006c07d2b033d1.jpg,1024,1024,339,268,468,397,328,317,417,326,472,367,451,406,385,417,325,377
00006c07d2b033d1.jpg,1024,1024,612,268,741,397,610,336,685,321,748,345,737,387,678,409,620,386
0000b366aaf9672a.jpg,682,1024,446,184,508,246,458,214,470,211,517,212,516,233,477,251,467,240
0000b366aaf9672a.jpg,682,1024,308,211,370,274,323,250,336,246,380,241,382,257,344,278,333,270
0000b86e2fd18333.jpg,691,1024,712,354,841,483,733,413,759,411,850,428,841,467,758,488,741,464
0000bee39176697a.jpg,727,1024,315,196,404,285,319,240,359,225,411,234,408,270,361,288,324,270
0000bee39176697a.jpg,727,1024,187,271,262,345,186,310,223,297,261,304,262,331,227,351,191,338
0000bee39176697a.jpg,727,1024,614,98,769,253,647,187,672,181,779,189,762,243,681,268,663,245
0000fc29545be065.jpg,1024,683,322,339,476,494,319,404,395,405,452,437,439,475,376,489,318,454
0001a2f47097ee27.jpg,681,1024,408,288,562,442,399,352,489,347,560,381,552,432,473,458,397,415
0001c3e14fe71e81.jpg,643,1024,481,246,543,308,483,278,513,272,537,282,534,302,510,314,485,302
0001c3e14fe71e81.jpg,643,1024,792,295,882,385,794,322,842,326,871,350,859,374,822,383,790,358
0001c3e14fe71e81.jpg,643,1024,402,187,509,295,395,252,463,234,482,234,480,273,470,292,405,282
0001c3e14fe71e81.jpg,643,1024,322,288,384,350,324,321,351,307,381,316,374,338,354,348,334,341
0001c3e14fe71e81.jpg,643,1024,285,326,337,378,286,348,316,346,333,359,326,374,307,381,288,371
0001c3e14fe71e81.jpg,643,1024,700,259,808,367,699,318,762,305,796,326,786,356,754,377,714,366
000266c1e4c17092.jpg,670,1024,491,170,812,491,559,333,610,322,820,363,774,481,617,523,586,472
00038a568acc699b.jpg,735,1024,390,192,613,415,387,339,523,295,569,291,559,371,534,404,412,388
0004350a376865f5.jpg,1024,768,179,478,254,553,170,515,215,507,249,521,242,544,210,556,178,544
0004350a376865f5.jpg,1024,768,337,553,411,627,335,584,371,577,410,592,401,616,367,623,340,608
000468989006adbd.jpg,1024,683,230,350,498,617,259,519,361,461,511,467,506,565,390,622,291,591
